Id,Emotion,Sentence
152,Disgust,sau này làm phò hết thôi . haizz
153,Enjoyment,ui sồi ôi đốn tim vãiiiiiiii
154,Other,tiểu học thì sổ đầu bài đâu ra vại mấy bác
155,Enjoyment,bố mẹ teen vãi =]]]
156,Other,"kinh hồn , sao chủ nó có thể để nó như v được nhỉ"
157,Other,lại sắp đánh án lớn
158,Disgust,tiền của mình mà bạn . đừng để người ta lấy
159,Other,diệp ngọc miutokool dautay đây là gì ?
160,Disgust,trẻ ăn cơm mốc thì thầy cô mới có phơ ăn .
161,Disgust,nhìn kinh dị quá 😂
162,Enjoyment,nhìn 2 cụ thương lạ lùng . nhìu lúc ước sao về già mình được nv thui .
163,Disgust,"dume , cái hồi học lớp 8 , chương cuối của quyển sách cô bảo tự học"
164,Enjoyment,"đúng thế , ở đâu cũng được đâu nhất thiết phải ở đây"
165,Anger,dume thằng quay phim khốn nạn . biết mà đéo bảo người ta đánh xe ra
166,Disgust,đồ con heo ma
167,Other,tao chắc chắn là cái sừng đã mọc
168,Surprise,ủa mặt gì mắc cười vậy
169,Disgust,đeo hiểu sao muôn lây chồng tây để sem chúng nó nhậu nhẹt nói chuyện có khác mấy thằng việt nam hãm lồn không
170,Other,chú này hay ở ngã tư hậu giang với phạm đình hỏ q6 thì phải
171,Anger,ủa xây cầu ngắt khúc để troll nhau à
172,Enjoyment,tôi đã cười khi xem
173,Other,cho mình hỏi ngu tí . pháp là ở đâu
174,Enjoyment,"vui nhất là câu "" lấy ghế ra ngồi nhìn """
175,Enjoyment,:v tới đây đi anh chịu trách nhiệm cho :v
176,Other,tình phụ tử đúng là vô hạn
177,Other,chó nhà giàu là vậy
178,Disgust,agribank thái độ nhân viên ở cấp huyện kém lắm
179,Enjoyment,cưng ghê
180,Sadness,nếu tao được gặp ba tôi 1 lần nửa thì tao sẻ nói con thw ba nhìu lắm . nhưng lời nói này chẳng pao giờ được nói nửa vì tao và ông ấy đã xa nhau mãi mãi
181,Enjoyment,qua rằm mới phải đi học haha =)))))
182,Enjoyment,nghe giống ổng là 1 nạn nhân . 😂
183,Enjoyment,may nó không đâm cho lòi ruột
184,Enjoyment,người ta đỗ giữa 2 cửa thế kia là rất ý thức rồi
185,Enjoyment,hi vọng ở tuổi đó gia đình luôn ở bên để thấy tôi đủ trưởng thành và thành công 💪
186,Enjoyment,per giống cái bữa mình viết ghê
187,Enjoyment,may quá . vài năm trước khi đi nẹp răng mình không phải chụp xquang
188,Other,per : để tao xem chúng mày hạnh phúc được bao lâu 😌
189,Enjoyment,"chuẩn , thấy đa phần nam chính vẫn được lòng hơn ."
190,Other,công chúa của anh đói rồi kìa
191,Enjoyment,mình ngủ cả ngày canh lúc nó về tới mở cửa ra đụng ngay mặt nó nhìn nhau cười 😂
192,Enjoyment,móng này mày ra uống chữa yếu sinh lý với ung thư ... khá tuyệt !
193,Sadness,huhu xem mà muốn khóc vãi
194,Other,con bé kiểu mày vừa làm cái wtf :)))))
195,Other,tâm phải bất dính giữa dòng đời vạn thính
196,Sadness,rồi mấy đứa chân không được dài như tao phóng qua kiểu gì :)
197,Disgust,nuôi kiểu gì mà để bé vậy đây :((((
198,Enjoyment,per =))) nó kể chuyện buồn mà cười vãi cười =)))
199,Disgust,mấy thằng ngu mang danh cổ động viên cuồng nhiệt . ban tổ chức bắt tại trận được thằng nào thì bắt nó share ra =))
200,Disgust,"ủa nó đá ông da đen mà ... sao tôi kia chửi nó "" da đen "" này nọ .... ?????"
201,Disgust,"nội bộ lục đục , được nước thả câu lại nhường cho 30 % cổ phần cho trung quốc . thế là thương hiệu việt nhưng công nghệ tq 😒😒"
202,Surprise,về nhanh thế
203,Enjoyment,chuẩn luôn :))
204,Disgust,nhạc ghét không hay mấy admin ạ
205,Surprise,sao nhìn mặt ông cụ giống tokuda thế
206,Disgust,nhìn ngon ngẻ v thôi chứ toàn gay qá :((
207,Enjoyment,"chuẩn thế còn gì , phải có uy tín trong nghề mới thành công được"
208,Disgust,giả dối
209,Fear,"gặp một nhà nuôi 1 con chó với 2 con ngỗng , trời ơi chưa kịp vào nhà , con chó còn chưa sủa mà con ngỗng đã đuổi chạy vắt chân lên cổ rồi :'( nhục"
210,Disgust,lại phốt xứ thanh . mệt nhỉ
211,Enjoyment,ha ha dể thương ❤️
212,Other,đây là bếp cồn có từ trước khi giải phóng nha mấy chế
213,Enjoyment,"per may có con bạn đang giảm cân nhưng nó hiền , nó sẽ lao vào ăn cùng tao chứ không tát sấp mặt tao như vậy , phải không ?"
214,Enjoyment,"ngày xưa toàn ăn cơm với nước mắt , ngày trước giận bố lắm , nhưng giờ mới cảm ơn bố vì như thế mới có mình ngày nay"
215,Other,chưa ai chịu được
216,Other,em mong chỗ tiền anh kiếm được không bị vợ giữ nốt 🤣
217,Disgust,"ngày xưa thầy dạy toán tao còn đấm thụi thụi thằng ngỗ ngược trong lớp đấy thôi , cả lớp cười ầm . giờ mạng xã hội phát triển , quan trọng hoá vấn đề , cái nhỏ đưa lên mạng là thành cái to"
218,Enjoyment,tao nhìn thấy thèm 🤣
219,Enjoyment,"một đời chẳng mong phải nhà lầu 4 tầng , xe hơi hàng tỉ , chỉ mong người đàn ông đi cùng mình đến cuối đời sẽ luôn nâng niu yêu thương mình 😊"
220,Sadness,an ủi cũng ghen à :(
221,Other,bếp dầu hỏa chứ cái gì
222,Disgust,chẳng là cái gì cả
223,Disgust,thằng ngu muội 😏😏😏
224,Enjoyment,đỉnh cao :))
225,Sadness,bằng tuổi em các bạn đang ôn thi mà em phân vân không biết chọn trường nào :((
226,Anger,láo vãi
227,Enjoyment,bác vẽ làm tao nhớ con cá này vãi =)))
228,Other,per còn nhớ cây nay không
229,Sadness,đi làm quán nước mà mỗi cái bịch nay long đựng ống hút nó cũng xé nhỏ ra rồi để bay tứ tung đi quét đã muốn lòi lồn
230,Other,thẳng thắn cho đỡ mất thời gian của nhau
231,Enjoyment,cười vãi :))) tếu thật sự luôn ý
232,Other,đó căn bản chỉ là phép lịch sự tối thiếu thôi
233,Disgust,quá xàm
234,Disgust,anh em có thấy cắt video không . thấy xl quá
235,Sadness,và mày chợt nhận ra người yêu củ của mày có người yêu mới huhu
236,Enjoyment,per đóng vai chính đúng xuất sắc lun
237,Other,giữa dòng đời này chắc mỗi mình mình xin list nhạc :3
238,Disgust,"tao ghét mấy thằng có tiền , nhìn ngứa mắt . tính kiểu gì cũng có chỗ không ra gì . có tiền là bố thiên hạ hả ."
239,Enjoyment,"dễ thương , đáng yêu , cưng ..."
240,Sadness,tiếc là chưa thấy cậu cười ngoài đời bao giờ
241,Fear,per về xem anh :v đái ra quần chuẩn mẹ rồi
242,Enjoyment,khung cảnh ấy cuộc sống đấy mỗi lần được xem yên bình nhẹ nhàng cực ! yêu bạn ấy
243,Other,đánh cả bố lẫn mẹ nó cho nó chừa
244,Disgust,"súc vật , đề nghị xứ án treo cho bác per à mà treo cổ nhé :)"
245,Enjoyment,phim này mới ra được có tập 1 thôi . hay phết
246,Fear,đù . ?????? sợ tụt lol
247,Fear,"bị chó rượt cũng không đáng sợ bằng mẹ này . gặp chó mà có ý định rượt thì đứng im hoặc đi nhẹ nhàng nó nghỉ rượt . còn mẹ này chạy mẻ rượt , đi nhẹ mẻ rượt , đứng im mẻ mổ như mổ thức ăn . thiếu điều muốn quỳ lạy van xin mẻ luôn ."
248,Disgust,ông anh đỗ xe cũng vô duyên mà chị chủ thớt bán hàng online cũng chẳng kém duyên
249,Sadness,hàng nông sản việt nam là thứ bị cạnh tranh và phá hoại nhìu nhất 😣
250,Enjoyment,những người có tài như này công nhận giỏi
251,Disgust,vô tâm vãi . thôi độc thân vui tính đi .
252,Disgust,cần gì làm quá như thế :v
253,Sadness,"nước mắt tự trào ra , thật sự rất cảm động 😢"
254,Sadness,đừng bỏ tao ra đi mà
255,Surprise,gía rẻ quá
256,Fear,chắc thôi tao đéo ra đường luôn :))) sợ vãi
257,Anger,xem đến cuối video mà vẫn đéo biết con nhỏ đó muốn gì . dài dòng vãi
258,Other,ờ thì giống nhau hay chỉ là trùng hợp
259,Disgust,hành văn khó hiểu vãi 🤔
260,Fear,"cứ thấy nó là đi đường vòng , dù đường hơi xa vẫn đỡ hơn bị nó dí =)))"
261,Enjoyment,bà ma nữ nhập vào nv chính thấy dễ thương dã man 😍😍
262,Sadness,1 câu chuyện buồn :)) khuôn mặt biểu cảm :((
263,Anger,chơi thế không hay nha page dume :))
264,Sadness,"tao buồn quá , tao đang khóc !!!"
265,Other,các bạn làm bố đi rồi sẽ hiểu được bố mẹ mình yêu mình nhiều thế nào
266,Enjoyment,câu chuyện mọc sừng được bắt nguồn từ đó 😀
267,Other,vậy thì nói ngoài đời đi
268,Disgust,"phải hỏi đứa nhỏ xem có phải ba nó không đã , nếu nó chưa biết nói thì nhìn ánh mắt nó thì biết thôi . mấy người tay và miệng nhanh hơn não này đúng là gây họa cho co người ta"
269,Other,có 5tr thôi à
270,Fear,"suốt ngày trật ray , còn hay không sự phù hợp hệ thống ray - tàu với hệ thống đường sắt vn"
271,Other,may không đi
272,Enjoyment,có cả túi vứt vỏ kẹo . văn minh vãiiii
273,Enjoyment,hay quá
274,Disgust,nghe có vẻ vô lý nhỉ
275,Enjoyment,vk em nó bảo bếp gas các bác ạ 🤣🤣🤣🤣
276,Enjoyment,"có tớ nhé , bạn không cô đơn đâu ."
277,Enjoyment,chạy xe hơn 40 ' chỉ để chạy ngang chỗ crush làm nhìn 1 cái rồi về :) đến giờ vẫn vậy cứ rảnh là chạy vô nhìn cái rồi về :)
278,Other,"tao không khóc , tao nghĩ ... tao sau này có một phút nào đó muốn quay lại hay không ..."
279,Enjoyment,hỏi sao bác sĩ hay bị người nhà bệnh nhân chém :))
280,Sadness,coi phim này mà ứa nước mắt 😢
281,Other,mình đã học được cách giả vờ như không nghe tiếng gì .. còn bị chửi dài dài cho tới khi trưởng thành hãy tập quen với điều ấy :))
282,Sadness,xem hết mới biết cái video nó không phải video hài thấy buồn buồn 😪
283,Fear,"đừng tin vào lời ong bướm , đó là hố sâu , là cạm bẫy tình yêu =))"
284,Enjoyment,còn tao thì 14 / 2 này trở đi tao không còn fa nữa mà chuyển sang những người già neo đơn .. kkk
285,Enjoyment,t thì thik cầu này vãi ... kiểu mấy người năng động thì sáng nào đi qua cầu này cũng vui
286,Sadness,"thề , coi rồi mà xem lại vẫn buồn"
287,Anger,tổ cha thằng viết kịch bản . mồi dâng đến miệng mà không cho ăn . bếp trưởng said
288,Other,đỗ chỗ này hay bị mưa gạch lắm
289,Disgust,"bảng thống kê so sánh ngành nghề , vị trí lẫn lộn , vô giá trị ."
290,Disgust,ko còn tính người nữa rồi
291,Enjoyment,"ôi trời ơi , buồn cười quá đi mất 😂😂😂😂😂😂"
292,Sadness,"đặt mình vào vị trí của nhau , biết lo lắng suy nghĩ san sẻ cho nhau vậy là đủ rồi . có quá khó không ?"
293,Other,"bác khoe cái gì , em đây đi xe lăn nhé , xe đạp chỉ là ước mơ của em thôi"
294,Enjoyment,"chị ấy cười với tao kìa chúng mày , hạnh phúc ghê 😊"
295,Other,"ai chả có lúc nóng , quan trọng sự kiềm chế của bạn như nào thôi"
296,Enjoyment,con dang yêuc qua ha
297,Other,tới luôn em ơi .
298,Other,con này nó nhờ thằng kia dọn mạng nhện ý mà có gì đâu
299,Other,lớn quá rồi chẳng được mẹ mắng chửi nữa :3
300,Disgust,nha ̀ nươ ́ c pha ̉ i bo ̉ tu ̀ mâ ́ y thă ̀ người la ̀ mày oan sai cho ngươ ̀ i dân thi ̀ chu ́ người no ́ mơ ́ i sơ ̣
301,Other,có tiền thì có vị ngọt và không có tiền thì đắng và cay thế thôi
302,Other,"theo bác thế nào là tránh cửa ra 1 tý , cả cái vỉa hè nhắn tin kia bạn còn muốn tránh đi đâu"
303,Other,tao vẫn nấu hôm trời mất điện
304,Anger,tử hình loại này đi
305,Disgust,fa đéo thích video này 😏
306,Other,"tao thấy không có người yêu vui mà , 5 năm rồi không yêuc"
307,Disgust,bắt được đứa nào rải đinh cho nó đi tù . coi thường tính mạng người khác
308,Enjoyment,per sắm 1 cái cho công túa ngồi nhà kêu gu gu hí =)))))))))))
309,Other,thằng con đã thấy được sự sợ hãi trong mắt bố nó rồi
310,Other,8h sáng sợ nó ngủ còn chưa dậy á
311,Enjoyment,chỉ cần follow anh trum trên twirter là chuyện quan trọng gì của mẽo trên thế giới cũng biết hết ;))
312,Disgust,ghét 2 đứa này quá đi
313,Other,thế là đầu khấc mất vợ tương lai
314,Enjoyment,dễ thương vãiiiiiiiii
315,Enjoyment,"cũng như đàn ông gục ngã trước cô gái nhiều sắc ! đặc biệt là 50 "" sắc "" thái 😂😂"
316,Other,con rắn thật nó lại tưởng đồng loại nó chui mọi người vào ở luôn
317,Enjoyment,có đứa con gái như vậy kêu làm việc nhà hằng ngày tôi cũng làm nữa 😘
318,Enjoyment,chuyện thì buồn nhưng nhìn cách kể của bé này thì nhịn cười không được 😂😂😂
319,Enjoyment,per nhớ nhà mi có hè 😅
320,Disgust,thằng học sinh làm khổ bome mày rồi
321,Enjoyment,sao lại cưng đến thế này ^^
322,Other,"thuyết âm mưu . nó đang muốn nhờ vả đấy , không nhờ được thì nó vả"
323,Fear,moá . vẫn nhớ hồi nhỏ bị ngỗng đuổi . đù má tao mới là đứa bé ngây thơ hồn nhiên thôi mà dume tao sợ tao ám ảnh đến bao giờ huhu 😭😭😭
324,Other,thằng này đi sing học luật hay sao mà viết hay quá vậy ?
325,Sadness,và đó đéo phải là tao =)))
326,Other,nách kẹp cái gì ấy nhỉ các bác
327,Other,đắng lắm .. mà qua rồi nên bỏ đi .. khẩu nghiệp nữa
328,Disgust,"con người hay con vật nó còn biết suy nghĩ , đây là loại gì"
329,Enjoyment,chào tháng 10 !! tháng sanh thần của tôi .. hi vọng mọi chuyện tốt đẹp
330,Enjoyment,cái nay nhận ra lâu roài . mà đi làm toàn gặp đồng nghiệp đáng yêu hi
331,Disgust,lại khiển trách kiểm điểm rút kinh nghiệm nữa ah
332,Anger,tao cũng co con gái nhưng nó không như loại mày đẻ ra chỉ đau lol phí cả công nuôi nuôi con chó còn hơn nuôi loại con như mày
333,Sadness,cái cảm giác nhìn người thân mình khổ còn mình lại chẳng làm được gì giúp .
334,Other,cuộc chiến đấu vẫn còn tiếp diễn
335,Enjoyment,cái dây ở ảnh đầu xinh vãi vậy
336,Other,"đó là kiểu người thích cuộc sống về đêm và ghét sự thay đổi , về mọi thứ !"
337,Enjoyment,"thank you giỏi quá vì nước quên thân , vì dân phục vụ ..."
338,Enjoyment,từ diễn viên đến ekip đỉnh vãi coi không sót giây nào
339,Disgust,hỏng cả 1 thế hệ
